,title,title from pdf,pdf file
0,Wissenschaftsblogs und wissenschaftliches Bloggen bei de.hypotheses.org,  Wissenschaftsblogs und wissenschaftliches Bloggen bei de.hypotheses.org Was bedeutet der digitale ,"150223_Workshop_II_Bolz-Wissenschaftliches_Bloggen,_Wissenschaftsblogs_und_bloggende_Wissenschaftler-1261164_a.pdf"
1,Frosch oder Prinz? TUSTEP als Werkzeug der Digitalen Geisteswissenschaften – ein Workshop der International TUSTEP User Group,DHd-Tagung»VonDatenzuErkenntnissen:DigitaleGeisteswissenschaftenalsMittlerzwischenInformationund,150223_Workshop_I_Kollatz-Frosch_oder_Prinz_TUSTEP_als_Werkzeug_der_digitalen_Geisteswissenschaften_–ein_Workshop_der_In_a.pdf
2,"Computerlinguistische Methoden der Inhaltsanalyse in den Sozialwissenschaften: Forschungspraktische Herausforderungen, Werkzeuge und Technologien",Proposal für einen Pre-Conference Workshop zur 2. Jahrestagung Digital Humanities im deutschsprachig,150223_Workshop_V_Stede-Computerlinguistische_Methoden_der_Inhaltsanalyse-1171159_a.pdf
3,Computational Narratology,Workshop Computational Narratology In den letzten fünf Jahren hat die computergestützte erzähltechni,150224_Workshop_III_Meister-Elemente_einer_Roadmap_fÅr_das_Forschungsfeld_Computational_Narratology-481097_a.pdf
4,ediarum – Eine digitale Arbeitsumgebung für Editionsvorhaben,"ediarum Ð Eine digitale Arbeitsumgebung fŸr Editionsvorhaben  Stefan Dumont (dumont@bbaw.de), Martin",150224_Workshop_IV_Dumont-ediarum_–_Eine_digitale_Arbeitsumgebung_für_Editionsvorhaben-1821070_a.pdf
5,Einführung in die Nutzung der Edirom Tools im Kontext digitaler Musikeditionen,"DHd-Jahrestagung 2015, Graz – Pre-Conference WorkshopEinführung in die Nutzung der Edirom Tools im K",150224_Workshop_VIII_Beer-EinfÅhrung_in_die_Nutzung_der_Edirom_Tools_im_Kontext_digitaler_Musikeditionen-1711192_a.pdf
6,Es geht auch ohne Formeln – Der Einsatz von TeX in den Digital Humanities am Beispiel kritischer Editionen,WorkshopEsgehtauchohneFormelnDerEinsatzvonTEXindenDigitalHumanitiesamBeispielkritischerEditionenMart,150224_Workshop_VII_Sievers-Es_geht_auch_ohne_Formeln_–_Der_Einsatz_von_TeX-1661098_a.pdf
7,Automatisierte Handschriftenerkennung mit der Transcription & Recognition Platform (TRP),Workshop: Automatisierte Handschriftenerkennung mit der Transcription & Recognition Platform (TRP)  ,150224_Workshop_VI_MÅhlberger-Automatisierte_Erkennung_handschriftlicher_Dokumente-141049_a.pdf
8,Filmbild Filmschnitt Filmstil – die Quantifizierung und Visualisierung von filmischen Strukturen,"Filmbild, Filmschnitt, Filmstil – die Quantifizierung und Visualisierung von filmischen StrukturenAd","150225_Kunstgeschichte_II_1_Heftberger-Filmbild,_Filmschnitt,_Filmstil_–_die_Quantifizierung-931114.pdf"
9,Die Bedeutung architektonischer Gestaltung in der visuellen Vermittlung wissenschaftlicher Unschärfe am Beispiel von Ktesiphon und weiteren archäologischen Stätten,Abstract Die Bedeutung architektonischer Gestaltung in der visuellen Vermittlung wissenschaftlicher ,150225_Kunstgeschichte_II_2_Lengyel-Die_Bedeutung_architektonischer_Gestaltung_in_der_visuellen_Vermittlung_wissenschaftlicher_UnschÑrfe_.pdf
