,title,title from pdf,title from xml,pdf file,xml file
0,Die Rolle des Zeigens,"Die Rolle des Zeigens,kepper@edirom.deMusikwissenschaftliches Seminar Detmold / Paderborn,Deutschlan",Die Rolle des Zeigens,conferences/DHd2016/pdf_einzeln/panels-001.pdf,conferences/DHd2016/xml/panels-001.xml
1,Der Modelle Tugend 2.0 – Vom digitalen 3D-Datensatz zum wissenschaftlichen Informationsmodell,"Der Modelle Tugend 2.0 –Vom digitalen 3D-Datensatzzum wissenschaftlichenInformationsmodell,email@ste",Der Modelle Tugend 2.0 – Vom digitalen 3D-Datensatz zum wissenschaftlichen Informationsmodell,conferences/DHd2016/pdf_einzeln/panels-002.pdf,conferences/DHd2016/xml/panels-002.xml
2,"Vernetzung ist wichtig, Vernetzung ist gut - Aber wie vernetzt man richtig?","Vernetzung ist wichtig,Vernetzung ist gut - Aberwie vernetzt man richtig?,ppfeil@uni-leipzig.deUnive","Vernetzung ist wichtig, Vernetzung ist gut - Aber wie vernetzt man richtig?",conferences/DHd2016/pdf_einzeln/panels-003.pdf,conferences/DHd2016/xml/panels-003.xml
3,Datenzentren für die nachhaltige Forschung in den Digital Humanities,"Datenzentren für dienachhaltige Forschung inden Digital Humanities,sahle@uni-koeln.deData Center for",Datenzentren für die nachhaltige Forschung in den Digital Humanities,conferences/DHd2016/pdf_einzeln/panels-004.pdf,conferences/DHd2016/xml/panels-004.xml
4,Fachwissenschaftliche Nutzungsszenarien der CLARIN-D Infrastruktur,"FachwissenschaftlicheNutzungsszenarien derCLARIN-D Infrastruktur,gregor.wiedemann@uni-leipzig.deUniv",Fachwissenschaftliche Nutzungsszenarien der CLARIN-D Infrastruktur,conferences/DHd2016/pdf_einzeln/panels-005.pdf,conferences/DHd2016/xml/panels-005.xml
5,Nachhaltigkeit technischer Lösungen für digitale Editionen. Eine kritische Evaluation bestehender Frameworks und Workflows von und für Praktiker_innen,Nachhaltigkeit technischerLösungen für digitaleEditionen. Eine kritischeEvaluation bestehenderFramew,Nachhaltigkeit technischer Lösungen für digitale Editionen. Eine kritische Evaluation bestehender Frameworks und Workflows von und für Praktiker_innen,conferences/DHd2016/pdf_einzeln/panels-006.pdf,conferences/DHd2016/xml/panels-006.xml
6,Die Rolle von Mensch und Computer in den Digital Humanities,"Die Rolle von Mensch undComputer in den DigitalHumanities,Daniel.Keim@uni-konstanz.deUniversität Kon",Die Rolle von Mensch und Computer in den Digital Humanities,conferences/DHd2016/pdf_einzeln/plenarvortraege-001.pdf,conferences/DHd2016/xml/plenarvortraege-001.xml
7,Von den 'digital humanities' zu einer humanen Digitalisierung,"Von den 'digital humanities'zu einer humanenDigitalisierung,zweig@cs.uni-kl.deTU Kaiserslautern, Deu",Von den 'digital humanities' zu einer humanen Digitalisierung,conferences/DHd2016/pdf_einzeln/plenarvortraege-002.pdf,conferences/DHd2016/xml/plenarvortraege-002.xml
8,Das Tool LAKomp und seine Anwendung auf Texte nichtstandardisierter Sprachstufen,"Das Tool LAKomp undseine Anwendung aufTexte nichtstandardisierterSprachstufen,Barbara.Aehnlich@uni-j",Das Tool LAKomp und seine Anwendung auf Texte nichtstandardisierter Sprachstufen,conferences/DHd2016/pdf_einzeln/posters-001.pdf,conferences/DHd2016/xml/posters-001.xml
9,Monasterium. Benutzerintegration in einem DH-Großprojekt,"Monasterium.Benutzerintegration in einemDH-Großprojekt,martina.buergermeister@uni-graz.atZIM, Univer",Monasterium. Benutzerintegration in einem DH-Großprojekt,conferences/DHd2016/pdf_einzeln/posters-002.pdf,conferences/DHd2016/xml/posters-002.xml
