,title,title from pdf,title from xml,pdf file,xml file
0,Die Rolle des Zeigens,,Die Rolle des Zeigens,conferences\DHd2016_neu\pdf\panels-001.pdf,conferences\DHd2016_neu\xml\panels-001.xml
1,Der Modelle Tugend 2.0 – Vom digitalen 3D-Datensatz zum wissenschaftlichen Informationsmodell,,Der Modelle Tugend 2.0 – Vom digitalen 3D-Datensatz zum wissenschaftlichen Informationsmodell,conferences\DHd2016_neu\pdf\panels-002.pdf,conferences\DHd2016_neu\xml\panels-002.xml
2,"Vernetzung ist wichtig, Vernetzung ist gut - Aber wie vernetzt man richtig?",,"Vernetzung ist wichtig, Vernetzung ist gut - Aber wie vernetzt man richtig?",conferences\DHd2016_neu\pdf\panels-003.pdf,conferences\DHd2016_neu\xml\panels-003.xml
3,Datenzentren für die nachhaltige Forschung in den Digital Humanities,,Datenzentren für die nachhaltige Forschung in den Digital Humanities,conferences\DHd2016_neu\pdf\panels-004.pdf,conferences\DHd2016_neu\xml\panels-004.xml
4,Fachwissenschaftliche Nutzungsszenarien der CLARIN-D Infrastruktur,,Fachwissenschaftliche Nutzungsszenarien der CLARIN-D Infrastruktur,conferences\DHd2016_neu\pdf\panels-005.pdf,conferences\DHd2016_neu\xml\panels-005.xml
5,Nachhaltigkeit technischer Lösungen für digitale Editionen. Eine kritische Evaluation bestehender Frameworks und Workflows von und für Praktiker_innen,,Nachhaltigkeit technischer Lösungen für digitale Editionen. Eine kritische Evaluation bestehender Frameworks und Workflows von und für Praktiker_innen,conferences\DHd2016_neu\pdf\panels-006.pdf,conferences\DHd2016_neu\xml\panels-006.xml
6,Die Rolle von Mensch und Computer in den Digital Humanities,,Die Rolle von Mensch und Computer in den Digital Humanities,conferences\DHd2016_neu\pdf\plenarvortraege-001.pdf,conferences\DHd2016_neu\xml\plenarvortraege-001.xml
7,Von den 'digital humanities' zu einer humanen Digitalisierung,,Von den 'digital humanities' zu einer humanen Digitalisierung,conferences\DHd2016_neu\pdf\plenarvortraege-002.pdf,conferences\DHd2016_neu\xml\plenarvortraege-002.xml
8,Das Tool LAKomp und seine Anwendung auf Texte nichtstandardisierter Sprachstufen,,Das Tool LAKomp und seine Anwendung auf Texte nichtstandardisierter Sprachstufen,conferences\DHd2016_neu\pdf\posters-001.pdf,conferences\DHd2016_neu\xml\posters-001.xml
9,Monasterium. Benutzerintegration in einem DH-Großprojekt,,Monasterium. Benutzerintegration in einem DH-Großprojekt,conferences\DHd2016_neu\pdf\posters-002.pdf,conferences\DHd2016_neu\xml\posters-002.xml
10,Booksprint-Projekt: Lehrbuch „Forschungsdatenmanagement“,,Booksprint-Projekt: Lehrbuch „Forschungsdatenmanagement“,conferences\DHd2016_neu\pdf\posters-003.pdf,conferences\DHd2016_neu\xml\posters-003.xml
11,Ähnlichkeitssuche in den Digital Humanities: Semi-automatische Identifikation von Kostümmustern,,Ähnlichkeitssuche in den Digital Humanities: Semi-automatische Identifikation von Kostümmustern ,conferences\DHd2016_neu\pdf\posters-004.pdf,conferences\DHd2016_neu\xml\posters-004.xml
12,Digitales Publizieren. Bedingungen – Optionen – Empfehlungen,,Digitales Publizieren. Bedingungen – Optionen – Empfehlungen,conferences\DHd2016_neu\pdf\posters-005.pdf,conferences\DHd2016_neu\xml\posters-005.xml
13,Das Dortmunder Chat-Korpus in CLARIN-D: Modellierung und Mehrwerte,,Das Dortmunder Chat-Korpus in CLARIN-D: Modellierung und Mehrwerte,conferences\DHd2016_neu\pdf\posters-006.pdf,conferences\DHd2016_neu\xml\posters-006.xml
14,Digitale Forschungsaktivitäten multilingual: TaDiRAH für die deutschsprachige DH-Community,,Digitale Forschungsaktivitäten multilingual: TaDiRAH für die deutschsprachige DH-Community,conferences\DHd2016_neu\pdf\posters-007.pdf,conferences\DHd2016_neu\xml\posters-007.xml
15,"""Bleeding Edge"" – Datenmodellierung, Softwareentwicklung und die Freuden und Leiden forschungsgetriebener Entwicklung am Beispiel der Datenbank der Islamic Scientific Manuscript Initiative (ISMI)",,"""Bleeding Edge"" – Datenmodellierung, Softwareentwicklung und die Freuden und Leiden forschungsgetriebener Entwicklung am Beispiel der Datenbank der Islamic Scientific Manuscript Initiative (ISMI)",conferences\DHd2016_neu\pdf\posters-008.pdf,conferences\DHd2016_neu\xml\posters-008.xml
16,histoGraph: Graphbasierte Exploration und Crowdbasierte Indexierung,,histoGraph: Graphbasierte Exploration und Crowdbasierte Indexierung ,conferences\DHd2016_neu\pdf\posters-009.pdf,conferences\DHd2016_neu\xml\posters-009.xml
17,Baustein statt Datenruine: Beitrag zu einer Forschungsumgebung mit Bild-Text-Annotationen,,Baustein statt Datenruine: Beitrag zu einer Forschungsumgebung mit Bild-Text-Annotationen,conferences\DHd2016_neu\pdf\posters-010.pdf,conferences\DHd2016_neu\xml\posters-010.xml
18,Metaphern digital – Auf dem Weg von der Annotation zur automatischen Detektion,,Metaphern digital – Auf dem Weg von der Annotation zur automatischen Detektion,conferences\DHd2016_neu\pdf\posters-011.pdf,conferences\DHd2016_neu\xml\posters-011.xml
19,With a little help from my (HDC-)friends,,With a little help from my (HDC-)friends,conferences\DHd2016_neu\pdf\posters-012.pdf,conferences\DHd2016_neu\xml\posters-012.xml
20,„Bis zum Sankt(-|\s)?[Nn]immerleins(-|\s)?[Tt]ag“ – Der Datumserkenner „PDR-Dates“,,„Bis zum Sankt(-|\s)?[Nn]immerleins(-|\s)?[Tt]ag“ – Der Datumserkenner „PDR-Dates“,conferences\DHd2016_neu\pdf\posters-013.pdf,conferences\DHd2016_neu\xml\posters-013.xml
21,Distant-Reading-Showcase: 200 Jahre deutscher Dramengeschichte auf einen Blick,,Distant-Reading-Showcase: 200 Jahre deutscher Dramengeschichte auf einen Blick,conferences\DHd2016_neu\pdf\posters-014.pdf,conferences\DHd2016_neu\xml\posters-014.xml
22,"Ontologie-basierte Modellierung, Vernetzung und Visualisierung geschichtswissenschaftlichen, wirtschaftswissenschaftlichen und politikwissenschaftlichen Wissens zur Unterstützung multiperspektivischer Konfliktforschung",,"Ontologie-basierte Modellierung, Vernetzung und Visualisierung geschichtswissen-schaftlichen, wirtschaftswissen-schaftlichen und politikwissen-schaftlichen Wissens zur Unterstützung multiperspektivischer Konfliktforschung",conferences\DHd2016_neu\pdf\posters-015.pdf,conferences\DHd2016_neu\xml\posters-015.xml
23,"Biblissima - Semantic Web Application für Handschriften, Inkunabeln und historische Sammlungen - Zwischenbericht",,"Biblissima - Semantic Web Application für Handschriften, Inkunabeln und historische Sammlungen - Zwischenbericht",conferences\DHd2016_neu\pdf\posters-016.pdf,conferences\DHd2016_neu\xml\posters-016.xml
24,: aichinger,,: aichinger,conferences\DHd2016_neu\pdf\posters-017.pdf,conferences\DHd2016_neu\xml\posters-017.xml
25,EbnerOnline. Konzept – Realisierung – Probleme. Erfahrungen aus der Praxis Digitaler Editionsarbeit,,EbnerOnline. Konzept – Realisierung – Probleme. Erfahrungen aus der Praxis Digitaler Editionsarbeit ,conferences\DHd2016_neu\pdf\posters-018.pdf,conferences\DHd2016_neu\xml\posters-018.xml
26,Dissertation: Der Berner Chorherr Heinrich Wölfli (1470-1532) und die Beschreibung seiner Heiligland-Wallfahrt von 1520/21 - Erschliessung und Darstellung durch klassisch-literaturwissenschaftliche und digital-moderne Methoden,,Dissertation: Der Berner Chorherr Heinrich Wölfli (1470-1532) und die Beschreibung seiner Heiligland-Wallfahrt von 1520/21 - Erschliessung und Darstellung durch klassisch-literaturwissenschaftliche und digital-moderne Methoden,conferences\DHd2016_neu\pdf\posters-019.pdf,conferences\DHd2016_neu\xml\posters-019.xml
27,Mit der FinderApp durch Goethes Faust: Treffer im Faksimile visuell hervorgehoben und multimediale Ausgabe in Videoaufführung und Hörbuch.,,Mit der FinderApp durch Goethes Faust: Treffer im Faksimile visuell hervorgehoben und multimediale Ausgabe in Videoaufführung und Hörbuch.,conferences\DHd2016_neu\pdf\posters-020.pdf,conferences\DHd2016_neu\xml\posters-020.xml
28,TInCAP – ein interdisziplinäres Korpus zu Ambiguitäts-phänomenen,,TInCAP – ein interdisziplinäres Korpus zu Ambiguitäts-phänomenen,conferences\DHd2016_neu\pdf\posters-021.pdf,conferences\DHd2016_neu\xml\posters-021.xml
29,Annotation natürlichsprachlicher Texte aus Onlineforen zur Entwicklung domainspezifischer Ontologien,,Annotation natürlichsprachlicher Texte aus Onlineforen zur Entwicklung domainspezifischer Ontologien ,conferences\DHd2016_neu\pdf\posters-022.pdf,conferences\DHd2016_neu\xml\posters-022.xml
30,Lizenzauswahlwerkzeuge für die digitalen Geisteswissenschaften,,Lizenzauswahlwerkzeuge für die digitalen Geisteswissenschaften,conferences\DHd2016_neu\pdf\posters-023.pdf,conferences\DHd2016_neu\xml\posters-023.xml
31,Die Uwe Johnson-Werkausgabe,,Die Uwe Johnson-Werkausgabe,conferences\DHd2016_neu\pdf\posters-024.pdf,conferences\DHd2016_neu\xml\posters-024.xml
32,Digitales Publizieren in den Geisteswissenschaften – Abschlussbericht und Handlungsempfehlungen des DFG-Projektes Fu-PusH,,Digitales Publizieren in den Geisteswissenschaften – Abschlussbericht und Handlungsempfehlungen des DFG-Projektes Fu-PusH ,conferences\DHd2016_neu\pdf\posters-025.pdf,conferences\DHd2016_neu\xml\posters-025.xml
33,Digital Zusammenwachsen: Forschungsdatenmanagement im Forschungsverbund MWW,,Digital Zusammenwachsen: Forschungsdatenmanagement im Forschungsverbund MWW,conferences\DHd2016_neu\pdf\posters-026.pdf,conferences\DHd2016_neu\xml\posters-026.xml
34,Darf wissenschaftliches Design in DH-Projekten emotional ansprechen?,,Darf wissenschaftliches Design in DH-Projekten emotional ansprechen? ,conferences\DHd2016_neu\pdf\posters-027.pdf,conferences\DHd2016_neu\xml\posters-027.xml
35,Gernika – Visualisierung der Interkonnektivität medialer Öffentlichkeiten in Europa,,Gernika – Visualisierung der Interkonnektivität medialer Öffentlichkeiten in Europa,conferences\DHd2016_neu\pdf\posters-028.pdf,conferences\DHd2016_neu\xml\posters-028.xml
36,Eine musikwissenschaftliche Edition in virtueller Umgebung: Die Einbindung der Anton Webern-Gesamtausgabe in SALSAH,,Eine musikwissenschaftliche Edition in virtueller Umgebung: Die Einbindung der Anton Webern-Gesamtausgabe in SALSAH ,conferences\DHd2016_neu\pdf\posters-029.pdf,conferences\DHd2016_neu\xml\posters-029.xml
37,Datenressourcen der Arbeitsstelle des Deutschen Wörterbuchs (Neubearbeitung),,Datenressourcen der Arbeitsstelle des Deutschen Wörterbuchs (Neubearbeitung),conferences\DHd2016_neu\pdf\posters-030.pdf,conferences\DHd2016_neu\xml\posters-030.xml
38,Nutzerorientierte Softwareentwicklung revised – Die Perspektive der Editorinnen und Editoren in digitalen Musik und Medieneditionen,,Nutzerorientierte Softwareentwicklung revised – Die Perspektive der Editorinnen und Editoren in digitalen Musik und Medieneditionen ,conferences\DHd2016_neu\pdf\posters-031.pdf,conferences\DHd2016_neu\xml\posters-031.xml
39,Netzwerkanalysen als Methode in der historischen Epistemologie,,Netzwerkanalysen als Methode in der historischen Epistemologie,conferences\DHd2016_neu\pdf\posters-032.pdf,conferences\DHd2016_neu\xml\posters-032.xml
40,Stefan George Digital,,Stefan George Digital,conferences\DHd2016_neu\pdf\posters-033.pdf,conferences\DHd2016_neu\xml\posters-033.xml
41,"Der Lehrpraxis im Transfer-Facharbeitskreis ""Digitale Geisteswissenschaften in Sachsen""",,"Der Lehrpraxis im Transfer-Facharbeitskreis ""Digitale Geisteswissenschaften in Sachsen""",conferences\DHd2016_neu\pdf\posters-034.pdf,conferences\DHd2016_neu\xml\posters-034.xml
42,Little Data on Big Map (Operative Verbildlichung von lokal existierten Daten der linguistischen Feldforschung),,Little Data on Big Map (Operative Verbildlichung von lokal existierten Daten der linguistischen Feldforschung),conferences\DHd2016_neu\pdf\posters-035.pdf,conferences\DHd2016_neu\xml\posters-035.xml
43,DARIAH-DKPro-Wrapper,,DARIAH-DKPro-Wrapper,conferences\DHd2016_neu\pdf\posters-036.pdf,conferences\DHd2016_neu\xml\posters-036.xml
44,Schichten über Schichten – Die Zukunft der Handschriftenforschung,,Schichten über Schichten – Die Zukunft der Handschriftenforschung,conferences\DHd2016_neu\pdf\posters-037.pdf,conferences\DHd2016_neu\xml\posters-037.xml
45,Ziele und Aktivitäten der Arbeitsgruppe Digitale Romanistik,,Ziele und Aktivitäten der Arbeitsgruppe Digitale Romanistik,conferences\DHd2016_neu\pdf\posters-038.pdf,conferences\DHd2016_neu\xml\posters-038.xml
46,WissKI – Wissenschaftliche Kommunikations-Infrastruktur,,WissKI – Wissenschaftliche Kommunikations-Infrastruktur,conferences\DHd2016_neu\pdf\posters-039.pdf,conferences\DHd2016_neu\xml\posters-039.xml
47,Entwicklung einer digitalen Brief-Edition und eines Forschungsportals zu Theodor Fontane,,Entwicklung einer digitalen Brief-Edition und eines Forschungsportals zu Theodor Fontane,conferences\DHd2016_neu\pdf\posters-040.pdf,conferences\DHd2016_neu\xml\posters-040.xml
48,explore.bread.AT! Die österreichische Brotkultur dialektal,,explore.bread.AT! Die österreichische Brotkultur dialektal ,conferences\DHd2016_neu\pdf\posters-041.pdf,conferences\DHd2016_neu\xml\posters-041.xml
49,Digitale Dokumentation des Kulturerbes im internationalen Verbund. Das Projekt Forschungsinfrastruk-tur Kunstdenkmäler in Ostmitteleuropa (FoKO),,Digitale Dokumentation des Kulturerbes im internationalen Verbund. Das Projekt Forschungsinfrastruk-tur Kunstdenkmäler in Ostmitteleuropa (FoKO),conferences\DHd2016_neu\pdf\posters-042.pdf,conferences\DHd2016_neu\xml\posters-042.xml
50,Kein Gedanke ohne Gedächtnis: Aspekte der Kooperation zwischen digitaler Geisteswissenschaft und BAM-Institutionen,,Kein Gedanke ohne Gedächtnis: Aspekte der Kooperation zwischen digitaler Geisteswissenschaft und BAM-Institutionen ,conferences\DHd2016_neu\pdf\posters-043.pdf,conferences\DHd2016_neu\xml\posters-043.xml
51,Digitales Arbeiten in den Geisteswissenschaften stärken – wissenschaftliche Begleitforschung in DARIAH-DE,,Digitales Arbeiten in den Geisteswissenschaften stärken – wissenschaftliche Begleitforschung in DARIAH-DE,conferences\DHd2016_neu\pdf\posters-044.pdf,conferences\DHd2016_neu\xml\posters-044.xml
52,Briding the GAP: 100 Jahre Dialektlexikographie als Cloud Service. Der SADE Use Case im DARIAH Competence Centre,,Briding the GAP: 100 Jahre Dialektlexikographie als Cloud Service. Der SADE Use Case im DARIAH Competence Centre,conferences\DHd2016_neu\pdf\posters-045.pdf,conferences\DHd2016_neu\xml\posters-045.xml
53,Big Babylonian Pictures. Kohärenztechniken zur konsistenten Vernetzung von Visualisierungen zu mentalen Modellen,,Big Babylonian Pictures. Kohärenztechniken zur konsistenten Vernetzung von Visualisierungen zu mentalen Modellen,conferences\DHd2016_neu\pdf\posters-047.pdf,conferences\DHd2016_neu\xml\posters-047.xml
54,dariahTeach - Freizugängliche Plattform für DH Lehrmaterialien,,dariahTeach - Freizugängliche Plattform für DH Lehrmaterialien,conferences\DHd2016_neu\pdf\posters-048.pdf,conferences\DHd2016_neu\xml\posters-048.xml
