;title;title from pdf;title from xml;pdf file;xml file
0;Nachhaltige Entwicklung digitaler Ressourcen und Werkzeuge für wenig erforschte historische Sprachen;Nachhaltige Entwicklungdigitaler Ressourcen undWerkzeuge für wenigerforschte historischeSprachenFeig;;;
1;Virtuelle Forschungsplattformen im Vergleich: MONK, Textgrid, Transcribo und Transkribus;VirtuelleForschungsplattformen imVergleich: MONK, Textgrid,Transcribo und TranskribusPiotrowski, Mic;Virtuelle Forschungsplattformen im Vergleich: MONK, Textgrid, Transcribo und Transkribus;conferences\DHd2017\pdf_einzeln\panel-HODEL.pdf;conferences\DHd2017\XML\panel-HODEL.xml
2;Das digitale Museum: ein nachhaltiger Partner der Digital Humanities?;Das digitale Museum: einnachhaltiger Partner derDigital Humanities?Hohmann, Georgg.hohmann@deutsches;Das digitale Museum: ein nachhaltiger Partner der Digital Humanities?;conferences\DHd2017\pdf_einzeln\panel-HOHMA.pdf;conferences\DHd2017\XML\panel-HOHMA.xml
3;eValuation - Kriterien zur Evaluation digitaler Angebote und Forschungsinfrastrukturen;eValuation - Kriterienzur Evaluationdigitaler Angebote undForschungsinfrastrukturenKurmann, Elianeel;eValuation - Kriterien zur Evaluation digitaler Angebote und Forschungsinfrastrukturen;conferences\DHd2017\pdf_einzeln\panel-KURMA.pdf;conferences\DHd2017\XML\panel-KURMA.xml
4;Virtuelle Forschungsumgebung für objekt- und raumbezogene Forschung;VirtuelleForschungsumgebung fürobjekt- und raumbezogeneForschungKuroczy#ski, Piotrpiotr.kuroczynski@;Virtuelle Forschungsumgebung für objekt- und raumbezogene Forschung;conferences\DHd2017\pdf_einzeln\panel-KUROC.pdf;conferences\DHd2017\XML\panel-KUROC.xml
5;Zugänglichkeit und dauerhafte Nutzbarkeit historischer Bildrepositorien für Forschung und Vermittlung;Zugänglichkeit unddauerhafte Nutzbarkeithistorischer Bildrepositorienfür Forschung undVermittlungNie;Zugänglichkeit und dauerhafte Nutzbarkeit historischer Bildrepositorien für Forschung und Vermittlung;conferences\DHd2017\pdf_einzeln\panel-NIEBL.pdf;conferences\DHd2017\XML\panel-NIEBL.xml
6;Hackathons als Zukunftslabor für die digitale Nachhaltigkeit;Hackathons alsZukunftslabor für diedigitale NachhaltigkeitNoyer, Frédéricf.noyer@docuteam.chVerein O;Hackathons als Zukunftslabor für die digitale Nachhaltigkeit;conferences\DHd2017\pdf_einzeln\panel-NOYER.pdf;conferences\DHd2017\XML\panel-NOYER.xml
7;Aktuelle Herausforderungen der Digitalen Dramenanalyse;Aktuelle Herausforderungender Digitalen DramenanalyseWilland, Marcusmarcus.willand@ilw.uni-stuttgart;Aktuelle Herausforderungen der Digitalen Dramenanalyse;conferences\DHd2017\pdf_einzeln\panel-REITE.pdf;conferences\DHd2017\XML\panel-REITE.xml
8;Citizen Science unter dem Blickwinkel nachhaltiger sozialer und technischer Infrastrukturen;Citizen Science unter demBlickwinkel nachhaltigersozialer und technischerInfrastrukturenSeltmann, Me; Citizen Science unter dem Blickwinkel nachhaltiger sozialer und technischer Infrastrukturen;conferences\DHd2017\pdf_einzeln\panel-SELTM.pdf;conferences\DHd2017\XML\panel-SELTM.xml
9;Wenn Forschen ein nicht reproduzierbarer Prozess ist – Nachhaltigkeit als Herausforderung in der Archäologie;Wenn Forschen ein nichtreproduzierbarer Prozessist – Nachhaltigkeit alsHerausforderung in derArchäol;Wenn Forschen ein nicht reproduzierbarer Prozess ist – Nachhaltigkeit als Herausforderung in der Archäologie;conferences\DHd2017\pdf_einzeln\plenary-FLESS.pdf;conferences\DHd2017\XML\plenary-FLESS.xml
10;Digitale Nachhaltigkeit: Mittel und/oder Zweck?;Digitale Nachhaltigkeit:Mittel und/oder Zweck?Seele, Peterpeter.seele@usi.chUniversità della Svizzer;Digitale Nachhaltigkeit: Mittel und/oder Zweck?;conferences\DHd2017\pdf_einzeln\plenary-SEELE.pdf;conferences\DHd2017\XML\plenary-SEELE.xml
11;Ein Bild sagt mehr als tausend Worte, aber sagen tausend Pixel mehr als ein Wort?;Ein Bild sagt mehr alstausend Worte, aber sagentausend Pixel mehr als einWort?Süsstrunk, Sabinesabin;Ein Bild sagt mehr als tausend Worte, aber sagen tausend Pixel mehr als ein Wort?;conferences\DHd2017\pdf_einzeln\plenary-SUESS.pdf;conferences\DHd2017\XML\plenary-SUESS.xml
12;Nachhaltigkeit durch Zusammenschluss: Die DARIAH Data Re-Use Charter;Nachhaltigkeit durchZusammenschluss: DieDARIAH Data Re-UseCharterBaillot, Anneanne.baillot@gmail.com;Nachhaltigkeit durch Zusammenschluss: Die DARIAH Data Re-Use Charter;conferences\DHd2017\pdf_einzeln\poster-BAILL.pdf;conferences\DHd2017\XML\poster-BAILL.xml
13;Living Books about History;Living Books about HistoryBaumann, Janjan.baumann@infoclio.chinfoclio.ch, SchweizKurmann, Elianeelia;Living Books about History;conferences\DHd2017\pdf_einzeln\poster-BAUMA.pdf;conferences\DHd2017\XML\poster-BAUMA.xml
14;Digitale Nachhaltigkeit in den Geisteswissenschaften durch TOSCA: Nutzung eines standardbasierten Open-Source Ökosystems;Digitale Nachhaltigkeit inden Geisteswissenschaftendurch TOSCA: Nutzungeines standardbasiertenOpen-S; Digitale Nachhaltigkeit in den Geisteswissenschaften durch TOSCA: Nutzung eines standardbasierten Open-Source Ökosystems ;conferences\DHd2017\pdf_einzeln\poster-BREIT.pdf;conferences\DHd2017\XML\poster-BREIT.xml
15;„Soziale Datenkuratierung“: Nachhaltigkeit im Projekt. Illuminierte Urkunden als Gesamtkunstwerk;„Soziale Datenkuratierung“:Nachhaltigkeit im ProjektIlluminierte Urkunden alsGesamtkunstwerkBürgerme;„Soziale Datenkuratierung“: Nachhaltigkeit im Projekt ;conferences\DHd2017\pdf_einzeln\poster-BUERG.pdf;conferences\DHd2017\XML\poster-BUERG.xml
16;Digitale Erschließung einer Sammlung von Volksliedern aus dem deutschsprachigen Raum;Digitale Erschließung einerSammlung von Volksliedernaus dem deutschsprachigenRaumBurghardt, Manuelma;Digitale Erschließung einer Sammlung von Volksliedern aus dem deutschsprachigen Raum;conferences\DHd2017\pdf_einzeln\poster-BURGH.pdf;conferences\DHd2017\XML\poster-BURGH.xml
17;PaLaFra – Entwicklung einer Annotationsumgebung für ein diachrones Korpus spätlateinischer und altfranzösischer Texte;PaLaFra – Entwicklungeiner Annotationsumgebungfür ein diachrones Korpusspätlateinischer undaltfranzö;PaLaFra – Entwicklung einer Annotationsumgebung für ein diachrones Korpus spätlateinischer und altfranzösischer Texte;conferences\DHd2017\pdf_einzeln\poster-DOEHL.pdf;conferences\DHd2017\XML\poster-DOEHL.xml
18;Kriterienbasierte Evaluation und Dokumentation technischer Nachhaltigkeit von Forschungssoftware in einem Metadatenrepositorium;Kriterienbasierte Evaluationund Dokumentationtechnischer Nachhaltigkeitvon Forschungssoftwarein eine;;;
19;Tool zur Normalisierung und Historisierung;Tool zur Normalisierung undHistorisierungEder, Elisabethe_eder@gmx.netLudwig Maximilians Universität;Tool zur Normalisierung und Historisierung;conferences\DHd2017\pdf_einzeln\poster-EDERE.pdf;conferences\DHd2017\XML\poster-EDERE.xml
20;maus - eine WebApp zur einfachen Erstellung funktionaler Webdokumente;maus - eine WebAppzur einfachen Erstellungfunktionaler WebdokumenteDufner, Matthiasmatthias.dufner@h;maus - eine WebApp zur einfachen Erstellung funktionaler Webdokumente;conferences\DHd2017\pdf_einzeln\poster-ENGEL.pdf;conferences\DHd2017\XML\poster-ENGEL.xml
21;Kompilation eines Diskursstruktur-annotierten deutschsprachigen Blogkorpus;Kompilation einesDiskursstruktur-annotiertendeutschsprachigenBlogkorpusGrumt Suárez, HolgerHolger.H.;Kompilation eines Diskursstruktur-annotierten deutschsprachigen Blogkorpus;conferences\DHd2017\pdf_einzeln\poster-GRUMT.pdf;conferences\DHd2017\XML\poster-GRUMT.xml
22;Digitale Werkzeuge und Infrastrukturen zur Analyse und Beschreibung von Bewegungen in vormodernen Wissensbeständen;Digitale Werkzeugeund Infrastrukturen zurAnalyse und Beschreibungvon Bewegungenin vormodernenWissens;;;
23;UIMA als Plattform für die nachhaltige Software-Entwicklung in den Digital Humanities;UIMA als Plattform fürdie nachhaltige Software-Entwicklung in den DigitalHumanitiesHellrich, Johanne;;;
24;Twhistory mit autoChirp, Social Media Tools für die Geschichtsvermittlung;Twhistory mit autoChirpSocial Media Tools für dieGeschichtsvermittlungHermes, Jürgenhermesj@uni-koel;;;
