,Bundle Name,Pdf file,XML file
0,ALTHOF_Daniel__Neue_Wahlverwandtschaften,ALTHOF_Daniel__Neue_Wahlverwandtschaften.pdf,ALTHOF_Daniel__Neue_Wahlverwandtschaften.xml
1,ANDORFER_Peter_TEIHencer___Enhance_your_TEI_Documents,ANDORFER_Peter_TEIHencer___Enhance_your_TEI_Documents.pdf,ANDORFER_Peter_TEIHencer___Enhance_your_TEI_Documents.xml
2,ANDRESEN_Melanie_Sprachliche_Variation_in_der_Germanistik__e,ANDRESEN_Melanie_Sprachliche_Variation_in_der_Germanistik__e.pdf,ANDRESEN_Melanie_Sprachliche_Variation_in_der_Germanistik__e.xml
3,ARNOLD_Eckhart_Positivistischer_Methodenfetischismus_als_Ana,ARNOLD_Eckhart_Positivistischer_Methodenfetischismus_als_Ana.pdf,ARNOLD_Eckhart_Positivistischer_Methodenfetischismus_als_Ana.xml
4,ASCHAUER_Anna_Reisewege_in_Raum_und_Zeit,ASCHAUER_Anna_Reisewege_in_Raum_und_Zeit.pdf,ASCHAUER_Anna_Reisewege_in_Raum_und_Zeit.xml
5,BARABUCCI_Gioele__Funktionale_und_deklarative_Programmierung,BARABUCCI_Gioele__Funktionale_und_deklarative_Programmierung.pdf,BARABUCCI_Gioele__Funktionale_und_deklarative_Programmierung.xml
6,BARZEN_Johanna_SustainLife___Erhalt_lebender__digitaler_Syst,BARZEN_Johanna_SustainLife___Erhalt_lebender__digitaler_Syst.pdf,BARZEN_Johanna_SustainLife___Erhalt_lebender__digitaler_Syst.xml
7,BECK_Jens_Was_Lesende_denken__Assoziationen_zu_B_chern_in_So,BECK_Jens_Was_Lesende_denken__Assoziationen_zu_B_chern_in_So.pdf,BECK_Jens_Was_Lesende_denken__Assoziationen_zu_B_chern_in_So.xml
8,BIGALKE_Ben_Personen__und_Figurennetzwerke_in_Fernando_Pesso,BIGALKE_Ben_Personen__und_Figurennetzwerke_in_Fernando_Pesso.pdf,BIGALKE_Ben_Personen__und_Figurennetzwerke_in_Fernando_Pesso.xml
9,BLANKEN_Christine_Endstation_Digital___Herausforderung_Metad,BLANKEN_Christine_Endstation_Digital___Herausforderung_Metad.pdf,BLANKEN_Christine_Endstation_Digital___Herausforderung_Metad.xml
