,Title in metadata,Bundle name,Pdf file,XML file
0,Aristoteles multimodal – Mit ediarum in den Graphen,103_final-KUCZERA_Andreas_Aristoteles_multimodal___Mit_ediarum_in_den_,103_final-KUCZERA_Andreas_Aristoteles_multimodal___Mit_ediarum_in_den_.pdf,103_final-KUCZERA_Andreas_Aristoteles_multimodal___Mit_ediarum_in_den_.xml
1,Prototypen als Proto-Theorie? – Plädoyer einer digitalen Theoriebildung,104_final-KLEYMANN_Rabea_Prototypen_als_Proto_Theorie____Pl_doyer_eine,104_final-KLEYMANN_Rabea_Prototypen_als_Proto_Theorie____Pl_doyer_eine.pdf,104_final-KLEYMANN_Rabea_Prototypen_als_Proto_Theorie____Pl_doyer_eine.xml
2,UPB-Annotate: Ein maßgeschneidertes Toolkit für historische Texte,106_final-SEEMANN_Nina_UPB_Annotate__Ein_ma_geschneidertes_Toolkit_f_r,106_final-SEEMANN_Nina_UPB_Annotate__Ein_ma_geschneidertes_Toolkit_f_r.pdf,106_final-SEEMANN_Nina_UPB_Annotate__Ein_ma_geschneidertes_Toolkit_f_r.xml
3,Automatic Text and Feature Recognition: Mit READ Werkzeugen Texte erkennen und Dokumente analysieren,108_final-HODEL_Tobias_Automatic_Text_and_Feature_Recognition__Mit_REA,108_final-HODEL_Tobias_Automatic_Text_and_Feature_Recognition__Mit_REA.pdf,108_final-HODEL_Tobias_Automatic_Text_and_Feature_Recognition__Mit_REA.xml
4,Von Wirtschaftsweisen und Topic Models: 50 Jahre ökonomische Expertise aus einer Text Mining Perspektive,109_final-WEHRHEIM_Lino_Von_Wirtschaftsweisen_und_Topic_Models__50_Jah,109_final-WEHRHEIM_Lino_Von_Wirtschaftsweisen_und_Topic_Models__50_Jah.pdf,109_final-WEHRHEIM_Lino_Von_Wirtschaftsweisen_und_Topic_Models__50_Jah.xml
5,Barcamp: Digitales Publizieren zwischen Experiment und Etablierung,111_final-STEYER_Timo_Barcamp__Digitales_Publizieren_zwischen_Experime,111_final-STEYER_Timo_Barcamp__Digitales_Publizieren_zwischen_Experime.pdf,111_final-STEYER_Timo_Barcamp__Digitales_Publizieren_zwischen_Experime.xml
6,Potentielle Privatsphäreverletzungen aufdecken und automatisiert sichtbar machen,112_final-GEIERHOS_Michaela_Potentielle_Privatsph_reverletzungen_aufde,112_final-GEIERHOS_Michaela_Potentielle_Privatsph_reverletzungen_aufde.pdf,112_final-GEIERHOS_Michaela_Potentielle_Privatsph_reverletzungen_aufde.xml
7,Herausforderungen für die Klassifikation historischer Buchillustrationen Überlegungen am Beispiel retrodigitalisierter Kinder- und Jugendsachbücher des 19. Jahrhunderts,113_final-MANDL_Thomas_Herausforderungen_f_r_die_Klassifikation_histor,113_final-MANDL_Thomas_Herausforderungen_f_r_die_Klassifikation_histor.pdf,113_final-MANDL_Thomas_Herausforderungen_f_r_die_Klassifikation_histor.xml
8,Gattungserkennung über 500 Jahre,115_final-CALVO_TELLO_Jos__Gattungserkennung__ber_500_Jahre,115_final-CALVO_TELLO_Jos__Gattungserkennung__ber_500_Jahre.pdf,115_final-CALVO_TELLO_Jos__Gattungserkennung__ber_500_Jahre.xml
9,Die PARTHENOS Training Suite,116_final-WUTTKE_Ulrike_Die_PARTHENOS_Training_Suite,116_final-WUTTKE_Ulrike_Die_PARTHENOS_Training_Suite.pdf,116_final-WUTTKE_Ulrike_Die_PARTHENOS_Training_Suite.xml
