,Title in metadata,Bundle name,Pdf file,XML file
0,Automatische Extraktion und semantische Modellierung der Einträge einer Bibliographie französischsprachiger Romane,102_final-L_SCHOW_Andreas_Automatische_Extraktion_und_semantische_Mode,102_final-L_SCHOW_Andreas_Automatische_Extraktion_und_semantische_Mode.pdf,102_final-L_SCHOW_Andreas_Automatische_Extraktion_und_semantische_Mode.xml
1,Abstract Enhancement. Potentiale der DHd-Konferenzabstracts als Daten/Publikation,105_final-STEYER_Timo_Abstract_Enhancement__Potentiale_der_Dhd_Konfere,105_final-STEYER_Timo_Abstract_Enhancement__Potentiale_der_Dhd_Konfere.pdf,105_final-STEYER_Timo_Abstract_Enhancement__Potentiale_der_Dhd_Konfere.xml
2,Nachlass Ludwig Wittgenstein: Softwaretechnologien und computerlinguistische Methoden der Software-Infrastruktur um die FinderApp WiTTFind,107_final-HADERSBECK_Maximilian_Nachlass_Ludwig_Wittgenstein__Software,107_final-HADERSBECK_Maximilian_Nachlass_Ludwig_Wittgenstein__Software.pdf,107_final-HADERSBECK_Maximilian_Nachlass_Ludwig_Wittgenstein__Software.xml
3,Spielräume bei der retroperspektivischen Analyse der Wittgenstein-Edition und die Herausforderungen für das Semantic Clustering,108_final-HADERSBECK_Maximilian_Spielr_ume_bei_der_Retroperspektivisch,108_final-HADERSBECK_Maximilian_Spielr_ume_bei_der_Retroperspektivisch.pdf,108_final-HADERSBECK_Maximilian_Spielr_ume_bei_der_Retroperspektivisch.xml
4,Intermediation der Forschungsinfrastruktur. Ein Rollenmodell für den Umgang mit einer komplexen Infrastrukturlandschaft,109_final-W_BBENA_Thorsten_Intermediation_der_Forschungsinfrastruktur,109_final-W_BBENA_Thorsten_Intermediation_der_Forschungsinfrastruktur.pdf,109_final-W_BBENA_Thorsten_Intermediation_der_Forschungsinfrastruktur.xml
5,Erzählerische Spielräume. Medienübergreifende Erforschung von Narrativen im Mittelalter mit ONAMA,110_final-NICKA_Isabella_Erz_hlerische_Spielr_ume__Medien_bergreifende,110_final-NICKA_Isabella_Erz_hlerische_Spielr_ume__Medien_bergreifende.pdf,110_final-NICKA_Isabella_Erz_hlerische_Spielr_ume__Medien_bergreifende.xml
6,"Partizipatives Design in Digital Humanities Projekten: Checklist, Maßnahmenkatalog und Use-Case",111_final-DOGUNKE_Swantje_Partizipatives_Design_in_Digital_Humanities_,111_final-DOGUNKE_Swantje_Partizipatives_Design_in_Digital_Humanities_.pdf,111_final-DOGUNKE_Swantje_Partizipatives_Design_in_Digital_Humanities_.xml
7,Stilometrische Untersuchung von Figurenreden in realistischen Erzähltexten,113_final-WEIMER_Lukas_Stilometrische_Untersuchung_von_Figurenreden_in,113_final-WEIMER_Lukas_Stilometrische_Untersuchung_von_Figurenreden_in.pdf,113_final-WEIMER_Lukas_Stilometrische_Untersuchung_von_Figurenreden_in.xml
8,Requirements on the Punctuation Reconstruction for the Translation of Post-modern Poetry,114_final-MEYER_SICKENDIEK_Burkhard_Requirements_on_the_Punctuation_Re,114_final-MEYER_SICKENDIEK_Burkhard_Requirements_on_the_Punctuation_Re.pdf,114_final-MEYER_SICKENDIEK_Burkhard_Requirements_on_the_Punctuation_Re.xml
9,Aufbau und Erfahrungen aus dem Digital Humanities Lab der Universität Erlangen-Nürnberg,115_final-SCHOLZ_Martin_Aufbau_und_Erfahrungen_aus_dem_Digital_Humanit,115_final-SCHOLZ_Martin_Aufbau_und_Erfahrungen_aus_dem_Digital_Humanit.pdf,115_final-SCHOLZ_Martin_Aufbau_und_Erfahrungen_aus_dem_Digital_Humanit.xml
