,title,title from pdf,pdf file
0,The Glossarium Graeco-Arabicum,The Glossarium Graeco­Arabicum (Proposal for the Jahrestagung der Digital Humanities im deutschsprac,ARZHANOV_Yuri_The_Glossarium.pdf
1,Disambiguierung in Suchtrefferlisten aus großen Textkorpora: Anwendungsfelder und Perspektiven,Disambiguierung in Suchtrefferlisten aus großen Textkorpora: Anwendungsfelder und Perspektiven Thoma,"BARTZ, Thomas_Disambiguierung_in_Suchtrefferlisten.pdf"
2,Kostümsprache als Mustersprache: Vom analytischen Wert Formaler Sprachen und Muster in den Filmwissenschaften,KostŸmsprache als Mustersprache: Vom analytischen Wert Formaler Sprachen und Muster in den Filmwisse,BARZEN_Johanna_Kost�msprachen_als_Mustersprachen.pdf
3,AAC-FACKEL. Das Beispiel einer digitalen Musteredition.,"  Mag. Dr. Hanno Biber,  Österreichische Akademie der Wissenschaften,  ICLTT - Institut für Corpusli",BIBER_Hanno_AAC_FACKEL_Das_Beispiel_einer_digitalen_Musteredition.pdf
4,"Vernetzte Korrespondenzen: Erforschung und Visualisierung sozialer, zeitlicher, räumlicher und thematischer Netze in Briefkorpora","Vernetzte Korrespondenzen: Erforschung und Visualisierung sozialer, zeitlicher, räumlicher und thema",BIEHL_Theresia_Vernetzte_Korrespondenzen_Erforschung_und_Visualisierung_sozialer.pdf
5,GeoBib - Georeferenzierte Online-Bibliographie früher Holocaust- und Lagerliteratur,"GeoBib - Georeferenzierte Online-Bibliographie früher Holocaust- und Lagerliteratur  Frank Binder, A",BINDER_Frank_GeoBib_Georeferenzierte_Online_Bibliographie_fr�her.pdf
6,"GeoHumanities: Karten, Daten, Texte in den digitalen Geisteswissenschaften","Titel des Workshops GeoHumanities:  Karten, Daten, Texte in den digitalen Geisteswissenschaften  Vor",BINDER_Frank_GeoHumanities_Karten_Daten_Texte_in_den_digitalen_Geisteswissenschaften.pdf
7,Herausforderungen und Best Practices interdisziplinärer Kooperation in den eHumanities – Erfahrungen aus dem BMBF-Verbund „Gute Arbeit“ nach dem Boom,"Kerstin Bischoff (Forschungszentrum L3S Hannover), Heidemarie Hanekop (SOFI Göttingen), Kerstin Brüc",BISCHOFF_Kerstin_Herausforderungen_und_best_practices.pdf
8,"Empirische Untersuchung zu digitalen, geisteswissenschaftlichen Arbeitspraktiken an der Universität Regensburg",Empirische Untersuchung zu digitalen  Arbeitspraktiken in den Geisteswissenschaften  an der Universi,BURGHARDT_Manuel_Empirische_Untersuchungen_zu_digitalen_geisteswissenschaftlichen_Arbeitspraktiken_an_der_Univers.pdf
9,A Flexible NLP Pipeline for Computational Narratology,AFlexibleNLPPipelineforComputationalNarratologyThomasB¨ogelJannikStr¨otgenChristophMayerMichaelGertz,B橤EL_Thomas_A_Flexible_NLP_Pipeline_for_Computational_Narratology.pdf
10,Auf den Weg zur Visualisierung von linguistischen Mustern der Deliberation: eine Fallstudie anhand der Daten von S21,AufdenWegzurVisualisierungvonlinguistischenMusternderDeliberation:eineFallstudieanhandderDatenvonS21,B橤EL_Tina_Auf_den_Weg_zur_Visualisierung_von_linguistischen_Mustern_der_Deliberation.pdf
11,Die Schule von Salamanca. Eine digitale Quellensammlung und ein Wörterbuch ihrer juristisch-politischen Sprache,"Posterpräsentation: Digital Humanities Passau, 25.-28.03.2014 Slot:  Beispiele für disziplinspezifis",CAESAR_Ingo_Die_Schule_von_Salamanca_Eine_digitale_Quellensammlung_und_ein_W”rterbuch.pdf
12,"eCodicology - Mittelalterliche Handschriften als Gegenstand ""archäologischer"" Forschung",1  eCodicology Mittelalterliche Handschriften als Gegenstand „archäologischer“ Forschung Abstract fü,CHANDNA_Swati_eCodicology_Mittelalterliche_Handschriften_als_Gegenstand.pdf
13,New Technologies for Old Germanic Languages: Resources and Research on Parallel Gospels in Older Continental Western Germanic,NewTechnologiesforOldGermanic.ResourcesandResearchonParallelGospelsinOlderContinentalWesternGermanic,CHIARCOS_Christian_New Technologies_for_Old_Germanic_Languages_Resources_and_Research_on_Parallel_Gospels.pdf
14,"Zwischen Ton und Textgenese: Digital gestützte Verfahren zur kritischen Edition von Operntexten in der ""Online-Edition der Libretti zu Mozarts Opern""",           Digital Humanities – methodischer Brückenschlag oder „feindliche Übernahme“? Chancen und ,CIVIDINI_Iacopo_Zwischen_Ton_und_Textgenese_Digital_gest�tzte_Verfahren_zur_kritischen_Edition_von_Operntexten.pdf
